Q. No,Type,Question Text,Image Path
27,MCQ,"Q.27  The value of the integral ∯ 𝑟⃗ ∙ 𝑚?⃗⃗ 𝑑𝑅? 𝑆  over the closed surface S bounding a volume V, where 
i
j
k
r
x
y
y


 <image: Indexed(1,DeviceRGB), width: 2, height: 2, bpc: 1> <image: Indexed(1,DeviceRGB), width: 2, height: 2, bpc: 1> is the position vector and n <image: Indexed(1,DeviceRGB), width: 2, height: 2, bpc: 1> is the normal to the surface S, is (A)  V 
(B)  2V 
(C)  3V 
(D)  4V ",static/questions\q027_MCQ_p8.png
28,MCQ,"Q.28  A point mass is shot vertically up from ground level with a velocity of 4 m/s at time, 
t 0
. It loses 20% of its impact velocity after each collision with the ground.  Assuming that the 
acceleration due to gravity is 10 m/s2 and that air resistance is negligible, the mass stops 
bouncing and comes to complete rest on the ground after a total time (in seconds) of (A) 1 
(B)  2 
(C)  4 
(D)    <image: DeviceRGB, width: 183, height: 44, bpc: 8>",static/questions\q028_MCQ_p8.png
29,MCQ,"Q.29  The state of stress at a point, for a body in plane stress, is shown in the figure below. If the minimum principal stress is 10 kPa, then the normal stress
y
 (in kPa) is      (A) 9.45 
(B) 18.88 
(C)  37.78 
(D)  75.50 ",static/questions\q029_MCQ_p9.png
30,MCQ,"Q.30  An epicyclic gear train is shown in the figure below. The number of teeth on the gears A, B and D are 20, 30 and 20, respectively. Gear C has 80 teeth on the inner surface and 100 teeth 
on the outer surface. If the carrier arm AB is fixed and the sun gear A rotates at 300 rpm in 
the clockwise direction, then the rpm of D in the clockwise direction is <image: DeviceRGB, width: 319, height: 250, bpc: 8>  (A) 240 
(B) 240 
(C)  375 
(D)  375  <image: DeviceRGB, width: 381, height: 314, bpc: 8>",static/questions\q030_MCQ_p9.png
31,MCQ,"Q.31  A carpenter glues a pair of cylindrical wooden logs by bonding their end faces at an angle of 
30



 as shown in the figure.   The glue used at the interface fails if  
      Criterion 1: the maximum normal stress exceeds 2.5 MPa. 
      Criterion 2: the maximum shear stress exceeds 1.5 MPa. 
Assume that the interface fails before the logs fail. When a uniform tensile stress of 4 MPa 
is applied, the interface (A) fails only because of criterion 1 (B) fails only because of criterion 2 (C) fails because of both criteria 1 and 2 (D) does not fail ",static/questions\q031_MCQ_p10.png
32,MCQ,"Q.32  A self-aligning ball bearing has a basic dynamic load rating (C10, for 106 revolutions) of 35 kN. If the equivalent radial load on the bearing is 45 kN, the expected life (in 106 
revolutions) is (A) below 0.5 
(B) 0.5 to 0.8 
(C)  0.8 to 1.0 
(D)  above 1.0 ",static/questions\q032_MCQ_p10.png
33,MCQ,"Q.33  A tank open at the top with a water level of 1 m, as shown in the figure, has a hole at a height of 0.5 m. A free jet leaves horizontally from the smooth hole. The distance X (in m) where 
the jet strikes the floor is (A) 0.5 
(B) 1.0 
(C)  2.0 
(D)  4.0  <image: DeviceGray, width: 454, height: 112, bpc: 8> <image: DeviceRGB, width: 253, height: 225, bpc: 8>",static/questions\q033_MCQ_p10.png
34,MCQ,"Q.34  In a Lagrangian system, the position of a fluid particle in a flow is described as 𝑥 = 𝑥𝑜𝑑?−𝑘𝑡 and 𝑥? = 𝑥?𝑜𝑑?𝑘𝑡 where t is the time while 𝑥𝑜, 𝑥?𝑜, and k are constants. The flow is (A) unsteady and one-dimensional 
(B) steady and two-dimensional 
(C) steady and one-dimensional 
(D) unsteady and two-dimensional ",static/questions\q034_MCQ_p11.png
35,MCQ,"Q.35  The maximum reduction in cross-sectional area per pass ( R ) of a cold wire drawing process is (
1)
1
,
n
R
e

   where n  represents the strain hardening coefficient. For the case of a perfectly plastic 
material, R is (A) 0.865 
(B) 0.826 
(C)  0.777 
(D)  0.632 ",static/questions\q035_MCQ_p11.png
36,NAT,Q.36  The percentage scrap in a sheet metal blanking operation of a continuous strip of sheet metal as shown in the figure is _______ (correct to two decimal places).   ,static/questions\q036_NAT_p11.png
37,NAT,"Q.37  An explicit forward Euler method is used to numerically integrate the differential equation dy
dt y using a time step of 0.1. With the initial condition (0)
1
y
 , the value of (1)
y
 computed by this method is ___________ (correct to two decimal places). ",static/questions\q037_NAT_p11.png
38,NAT,"Q.38  ( )
F s  is the Laplace transform of the function 2
( )
2
t
f t
t e F(1)
 is ________ (correct to two decimal places).  <image: DeviceRGB, width: 586, height: 146, bpc: 8>",static/questions\q038_NAT_p11.png
40,NAT,"Q.40  A machine of mass 𝑚 = 200 kg is supported on two mounts, each of stiffness 𝑘 = 10 kN/m. The machine is subjected to an external force (in N)  𝐹(𝑡) = 50 cos 5𝑡. 
Assuming only vertical translatory motion, the magnitude of the dynamic force (in N) 
transmitted from each mount to the ground is ______ (correct to two decimal places).   ",static/questions\q040_NAT_p12.png
41,NAT,"Q.41  A slider crank mechanism is shown in the figure. At some instant, the crank angle is 45o and a force of 40 N is acting towards the left on the slider. The length of the crank is 30 mm and 
the connecting rod is 70 mm. Ignoring the effect of gravity, friction and inertial forces, the 
magnitude of the crankshaft torque (in Nm) needed to keep the mechanism in equilibrium is 
_________ (correct to two decimal places).    <image: DeviceRGB, width: 109, height: 239, bpc: 8> <image: DeviceRGB, width: 287, height: 93, bpc: 8>",static/questions\q041_NAT_p12.png
42,NAT,"Q.42  A sprinkler shown in the figure rotates about its hinge point in a horizontal plane due to water flow discharged through its two exit nozzles.  The total flow rate Q through the sprinkler is 1 litre/sec and the cross-sectional area of each 
exit nozzle is 1 cm2. Assuming equal flow rate through both arms and a frictionless hinge, 
the steady state angular speed of rotation (in rad/s) of the sprinkler is ______ (correct to two 
decimal places). ",static/questions\q042_NAT_p13.png
44,NAT,"Q.44  A tank of volume 0.05 m3 contains a mixture of saturated water and saturated steam at 200C. The mass of the liquid present is 8 kg.  The entropy (in kJ/kg K) of the mixture is 
___________ (correct to two decimal places). Property data for saturated steam and water are: 
At 200C, 
psat
= 1.5538 MPa fv = 0.001157 m3/kg, 
gv = 0.12736 m3/kg 4.1014
sfg

kJ/kg K, 
fs 2.3309
kJ/kg K  <image: DeviceRGB, width: 45, height: 16, bpc: 8> Q/2 <image: DeviceRGB, width: 46, height: 16, bpc: 8> Q/2 <image: DeviceRGB, width: 38, height: 16, bpc: 8> 10 cm <image: DeviceRGB, width: 38, height: 16, bpc: 8> 20 cm <image: DeviceRGB, width: 5, height: 34, bpc: 8>   Impermeable  
wall m=2.0 kg h=0.15mm A=0.04 m2 V",static/questions\q044_NAT_p13.png
45,NAT,"Q.45  Steam flows through a nozzle at a mass flow rate of 
1.0
m
kg/s with a heat loss of 5 kW. The enthalpies at inlet and exit are 2500kJ/kg and 2350 kJ/kg, respectively. Assuming 
negligible velocity at inlet (
C1 0
), the velocity (
2
C ) of steam (in m/s) at the nozzle exit is __________ (correct to two decimal places).  ",static/questions\q045_NAT_p14.png
47,NAT,"Q.47  A plane slab of thickness L and thermal conductivity k is heated with a fluid on one side (P), and the other side (Q) is maintained at a constant temperature, TQ of 25C, as shown in the 
figure. The fluid is at 45C and the surface heat transfer coefficient, h, is 
10 W/mK
2
. The steady state temperature, TP, (in C) of the side which is exposed to the fluid is _______ 
(correct to two decimal places).   <image: DeviceRGB, width: 340, height: 185, bpc: 8> <image: DeviceRGB, width: 281, height: 191, bpc: 8>",static/questions\q047_NAT_p14.png
48,NAT,"Q.48  The true stress (σ) - true strain ( ) diagram of a strain hardening material is shown in figure. First, there is loading up to point A, i.e., up to stress of 500 MPa and strain of 0.5. Then from 
point A, there is unloading up to point B, i.e., to stress of 100 MPa. Given that the Young’s 
modulus E = 200 GPa, the natural strain at point B (
B
 ) is _________ (correct to three decimal places).   ",static/questions\q048_NAT_p15.png
49,NAT,"Q.49  An orthogonal cutting operation is being carried out in which uncut thickness is 0.010 mm, cutting speed is 130 m/min, rake angle is 15 and width of cut is 6 mm. It is observed that 
the chip thickness is 0.015 mm, the cutting force is 60 N and the thrust force is 25 N. The 
ratio of friction energy to total energy is __________ (correct to two decimal places). ",static/questions\q049_NAT_p15.png
50,NAT,Q.50  A bar is compressed to half of its original length. The magnitude of true strain produced in the deformed bar is _________________ (correct to two decimal places). ,static/questions\q050_NAT_p15.png
52,NAT,"Q.52  Processing times (including setup times) and due dates for six jobs waiting to be processed at a work centre are given in the table. The average tardiness (in days) using shortest 
 processing time rule is ___________ (correct to two decimal places).  Job 
Processing time (days) 
Due date (days) A 
3 
8 B 
7 
16 C 
4 
4 D 
9 
18 E 
5 
17 F 
13 
19 ",static/questions\q052_NAT_p16.png
53,NAT,"Q.53  The schematic of an external drum rotating clockwise engaging with a short shoe is shown in the figure. The shoe is mounted at point Y on a rigid lever XYZ hinged at point X. A force 
𝐹 = 100 𝑁 is applied at the free end of the lever as shown. Given that the coefficient of 
friction between the shoe and the drum is 0.3, the braking torque (in Nm ) applied on the 
drum is _______ (correct to two decimal places).  (All dimensions are in mm)   <image: DeviceRGB, width: 291, height: 308, bpc: 8>",static/questions\q053_NAT_p16.png
54,NAT,"Q.54  Block P of mass 2 kg slides down the surface and has a speed 20 m/s at the lowest point, Q, where the local radius of curvature is 2 m as shown in the figure. Assuming  g = 10 m/s2, the 
normal force (in N) at Q is _______ (correct to two decimal places).   ",static/questions\q054_NAT_p17.png
55,NAT,"Q.55  An electrochemical machining (ECM) is to be used to cut a through hole into a 12 mm thick aluminum plate. The hole has a rectangular cross-section, 10 mm × 30 mm. The ECM 
operation will be accomplished in 2 minutes, with efficiency of 90%. Assuming specific 
removal rate for aluminum as 3.44 × 10-2 mm3/(A s), the current (in A)  required is 
__________ (correct to two decimal places).  END OF THE QUESTION PAPER <image: DeviceRGB, width: 172, height: 156, bpc: 8>",static/questions\q055_NAT_p17.png
